train/episode,stats_g/std,stats_g/mean,test/mean_Q,test/episode,stats_o/mean,train/success_rate,stats_o/std,epoch,test/success_rate
100.0,0.019273039,0.67421025,-2.779821,20.0,0.31632054,0.0,0.70160234,0,0.0
200.0,0.018492403,0.67376995,-1.9715096,40.0,0.30499753,0.0,0.73424864,1,0.0
300.0,0.018492935,0.6735179,-2.1937888,60.0,0.29827884,0.0,0.7752922,2,0.0
400.0,0.018370258,0.6737805,-2.4704738,80.0,0.29928696,0.0,0.79334825,3,0.0
500.0,0.018310118,0.67389286,-2.7547126,100.0,0.30016884,0.0,0.8065663,4,0.1
600.0,0.018293984,0.6739778,-2.6263137,120.0,0.2995115,0.0,0.81429666,5,0.1
700.0,0.018680848,0.674357,-2.371219,140.0,0.30127233,0.0,0.8186209,6,0.1
800.0,0.019126454,0.6737409,-3.2733464,160.0,0.3023595,0.0,0.8230284,7,0.0
900.0,0.01912133,0.6737524,-4.097689,180.0,0.3026745,0.0,0.82501274,8,0.0
1000.0,0.019289017,0.6734919,-4.0243287,200.0,0.30239722,0.0,0.8244799,9,0.05
1100.0,0.01925016,0.673385,-2.9321852,220.0,0.30146965,0.0,0.8265299,10,0.0
1200.0,0.019099465,0.67326516,-2.139405,240.0,0.300913,0.01,0.827377,11,0.15
1300.0,0.018974287,0.6731936,-3.3167949,260.0,0.3003835,0.01,0.8264832,12,0.15
1400.0,0.018860517,0.6731571,-2.1325078,280.0,0.29966283,0.02,0.82605207,13,0.1
1500.0,0.018742811,0.6732932,-5.0721755,300.0,0.29986674,0.0,0.82653105,14,0.05
1600.0,0.018713411,0.67336637,-2.7326572,320.0,0.29892159,0.01,0.8264739,15,0.15
1700.0,0.018582944,0.6733501,-3.7673676,340.0,0.29828107,0.0,0.8260105,16,0.05
1800.0,0.018516572,0.673384,-5.8748794,360.0,0.2979001,0.01,0.8242809,17,0.05
1900.0,0.018455824,0.67348033,-7.51431,380.0,0.29823226,0.0,0.8236191,18,0.15
2000.0,0.01845287,0.67352736,-5.1292343,400.0,0.2979018,0.0,0.82315314,19,0.05
2100.0,0.018642375,0.6736857,-5.1297026,420.0,0.29780707,0.01,0.82335407,20,0.2
2200.0,0.018673126,0.6736557,-4.3593836,440.0,0.29772058,0.01,0.8243357,21,0.05
2300.0,0.018658908,0.67361236,-7.0157137,460.0,0.29781544,0.0,0.82402116,22,0.1
2400.0,0.018630732,0.6736574,-10.2524185,480.0,0.29799256,0.0,0.82389504,23,0.05
2500.0,0.018619895,0.67367613,-3.6902268,500.0,0.29766428,0.01,0.8233234,24,0.0
2600.0,0.018596424,0.6737296,-6.8268204,520.0,0.2978358,0.0,0.8232361,25,0.1
2700.0,0.018629853,0.6737804,-6.8979163,540.0,0.2980098,0.01,0.8232614,26,0.25
2800.0,0.018611722,0.6737808,-6.1533217,560.0,0.2982465,0.0,0.82387495,27,0.1
2900.0,0.018566964,0.67378217,-8.503844,580.0,0.2987427,0.0,0.82385325,28,0.05
3000.0,0.018530238,0.6738092,-5.128783,600.0,0.2988859,0.0,0.82374436,29,0.1
3100.0,0.018530874,0.67379415,-9.570307,620.0,0.29883143,0.0,0.8233518,30,0.1
3200.0,0.018518819,0.67380613,-4.598762,640.0,0.29880834,0.01,0.8224959,31,0.15
3300.0,0.018544199,0.6738212,-11.270918,660.0,0.29875976,0.01,0.8218699,32,0.1
3400.0,0.01857776,0.6738134,-9.238538,680.0,0.2988361,0.0,0.82143134,33,0.1
3500.0,0.018660994,0.67382187,-11.324726,700.0,0.29874855,0.01,0.8213543,34,0.1
3600.0,0.018779177,0.6738531,-6.928341,720.0,0.29883137,0.0,0.8209299,35,0.2
3700.0,0.018886605,0.6739218,-8.861781,740.0,0.29892236,0.0,0.8211307,36,0.25
3800.0,0.018928224,0.67400897,-11.990457,760.0,0.2989725,0.01,0.8213913,37,0.1
3900.0,0.018963635,0.67400944,-9.955355,780.0,0.29896748,0.0,0.8215915,38,0.1
4000.0,0.019024896,0.67400485,-11.974411,800.0,0.29910773,0.0,0.82160324,39,0.1
4100.0,0.019039165,0.67404354,-6.3665376,820.0,0.2994581,0.0,0.82182366,40,0.0
4200.0,0.019122984,0.6739976,-10.037428,840.0,0.2993823,0.0,0.822272,41,0.05
4300.0,0.01928628,0.6740539,-3.8790565,860.0,0.2990255,0.0,0.8232123,42,0.05
4400.0,0.019273844,0.6740857,-11.641035,880.0,0.2989147,0.0,0.8234281,43,0.1
4500.0,0.019252965,0.6740822,-3.9459434,900.0,0.29867417,0.01,0.823792,44,0.1
4600.0,0.01923129,0.67407095,-7.366212,920.0,0.29846776,0.0,0.82376313,45,0.0
4700.0,0.01921511,0.6740715,-7.9450636,940.0,0.29821086,0.0,0.8235192,46,0.15
4800.0,0.019198155,0.6740397,-8.10177,960.0,0.29815617,0.01,0.8231273,47,0.1
4900.0,0.019228052,0.67401606,-6.2671523,980.0,0.29818162,0.0,0.82305104,48,0.15
5000.0,0.019339036,0.67395294,-6.379663,1000.0,0.29802525,0.0,0.822983,49,0.1
5100.0,0.019359387,0.673896,-6.16393,1020.0,0.29815537,0.02,0.8231185,50,0.05
5200.0,0.019365052,0.67386097,-9.570996,1040.0,0.2983421,0.0,0.8232451,51,0.1
5300.0,0.019366147,0.6738573,-7.2946043,1060.0,0.29848462,0.01,0.82329196,52,0.05
5400.0,0.019377083,0.67391294,-7.500982,1080.0,0.29853418,0.0,0.82316536,53,0.15
5500.0,0.019435668,0.67396086,-13.942835,1100.0,0.2985987,0.01,0.8233216,54,0.1
5600.0,0.019450705,0.67402107,-7.657157,1120.0,0.2987621,0.0,0.8228373,55,0.05
5700.0,0.01942298,0.67402846,-13.522372,1140.0,0.2987699,0.0,0.82257444,56,0.05
5800.0,0.01940886,0.6740351,-10.468084,1160.0,0.2989986,0.0,0.8226596,57,0.15
5900.0,0.019406097,0.6740428,-11.844255,1180.0,0.29900354,0.0,0.82227886,58,0.15
6000.0,0.019412676,0.67404896,-8.810099,1200.0,0.29915413,0.01,0.82214725,59,0.3
6100.0,0.019381884,0.67404264,-13.981665,1220.0,0.29920316,0.01,0.8218429,60,0.05
6200.0,0.01936244,0.67406666,-7.4100275,1240.0,0.29932055,0.02,0.8217609,61,0.35
6300.0,0.019370515,0.67410946,-6.4087434,1260.0,0.29942048,0.0,0.82153636,62,0.15
6400.0,0.019365484,0.6741248,-6.690551,1280.0,0.2993129,0.01,0.82131225,63,0.1
6500.0,0.019336836,0.674134,-13.545934,1300.0,0.2993441,0.0,0.8210776,64,0.05
6600.0,0.019340893,0.67416155,-15.778036,1320.0,0.29938433,0.0,0.8205631,65,0.15
6700.0,0.019328622,0.674179,-10.311272,1340.0,0.29940793,0.01,0.8204087,66,0.15
6800.0,0.019312378,0.67419785,-7.011556,1360.0,0.29956785,0.01,0.82014567,67,0.45
6900.0,0.019297708,0.67421263,-10.346108,1380.0,0.2996545,0.01,0.81993526,68,0.45
7000.0,0.019302351,0.6742341,-12.300608,1400.0,0.2997111,0.0,0.8197692,69,0.15
7100.0,0.019348038,0.67430127,-11.542467,1420.0,0.29980636,0.0,0.81991494,70,0.15
7200.0,0.019340744,0.67433417,-10.240366,1440.0,0.29985535,0.0,0.81945276,71,0.25
7300.0,0.019340906,0.6743793,-12.615466,1460.0,0.2999603,0.0,0.8195774,72,0.1
7400.0,0.019353267,0.67439246,-15.197844,1480.0,0.3000551,0.0,0.819505,73,0.0
7500.0,0.01934334,0.67439014,-13.846998,1500.0,0.30015153,0.0,0.81913674,74,0.0
7600.0,0.019349134,0.6744083,-9.859687,1520.0,0.3002914,0.0,0.81892943,75,0.35
7700.0,0.019384809,0.67445254,-21.80231,1540.0,0.30045217,0.0,0.8187341,76,0.05
7800.0,0.019388767,0.67445827,-15.230621,1560.0,0.30053186,0.02,0.8186506,77,0.15
7900.0,0.019383188,0.674449,-18.131216,1580.0,0.3004205,0.01,0.8186013,78,0.2
8000.0,0.019395238,0.67441815,-15.171438,1600.0,0.3003935,0.01,0.8183645,79,0.1
8100.0,0.019396843,0.6743998,-11.172351,1620.0,0.3004241,0.0,0.81829184,80,0.1
8200.0,0.019380314,0.67439634,-14.433742,1640.0,0.30048832,0.01,0.81828,81,0.2
8300.0,0.01937097,0.6744037,-15.340962,1660.0,0.30052978,0.0,0.8182046,82,0.3
8400.0,0.019357594,0.6743924,-25.286716,1680.0,0.30051225,0.01,0.8180763,83,0.1
8500.0,0.019383065,0.67444915,-17.729574,1700.0,0.3006829,0.0,0.81784695,84,0.1
8600.0,0.019396175,0.674474,-16.136642,1720.0,0.3007,0.0,0.81761265,85,0.15
8700.0,0.019408314,0.67446554,-15.690562,1740.0,0.30063373,0.02,0.8175741,86,0.1
8800.0,0.019424688,0.6744869,-18.328953,1760.0,0.3007544,0.0,0.8174331,87,0.05
8900.0,0.0194131,0.6744766,-15.398865,1780.0,0.30075392,0.01,0.8170453,88,0.25
9000.0,0.019401304,0.6744472,-17.830097,1800.0,0.30082405,0.01,0.81694496,89,0.2
9100.0,0.019392753,0.67445976,-18.735966,1820.0,0.3008799,0.0,0.8167684,90,0.2
9200.0,0.019364562,0.67446166,-14.701258,1840.0,0.30081832,0.01,0.81662977,91,0.1
9300.0,0.019341495,0.6744645,-19.601337,1860.0,0.30090442,0.0,0.8166461,92,0.1
9400.0,0.019343315,0.67447716,-22.127441,1880.0,0.30096474,0.0,0.8166358,93,0.1
9500.0,0.019356964,0.6745061,-16.231531,1900.0,0.3009676,0.0,0.8164312,94,0.1
9600.0,0.01934039,0.67452264,-18.961508,1920.0,0.3010781,0.01,0.81628686,95,0.05
9700.0,0.019326977,0.67452234,-17.91833,1940.0,0.30106992,0.0,0.81623304,96,0.05
9800.0,0.019310504,0.6745266,-19.019505,1960.0,0.3011104,0.0,0.81604433,97,0.15
9900.0,0.019291226,0.67452455,-8.15764,1980.0,0.30109513,0.0,0.81582975,98,0.15
10000.0,0.019276828,0.6745196,-16.844875,2000.0,0.30111495,0.0,0.81589776,99,0.1
10100.0,0.019258339,0.6745006,-15.746287,2020.0,0.30104297,0.01,0.8156854,100,0.15
10200.0,0.019252492,0.67449784,-20.51602,2040.0,0.30110556,0.0,0.81552625,101,0.2
10300.0,0.019254543,0.674492,-26.448963,2060.0,0.30108827,0.01,0.8153718,102,0.0
10400.0,0.019268334,0.67449987,-21.859701,2080.0,0.30112106,0.0,0.81531066,103,0.05
10500.0,0.019271918,0.67451274,-24.033705,2100.0,0.3011637,0.0,0.8152131,104,0.1
10600.0,0.019273786,0.6745311,-18.846584,2120.0,0.3011897,0.0,0.815292,105,0.05
10700.0,0.019297885,0.67454916,-13.678957,2140.0,0.30129296,0.02,0.81521374,106,0.1
10800.0,0.01929483,0.6745688,-19.070868,2160.0,0.30130434,0.01,0.81511337,107,0.15
10900.0,0.019292353,0.674578,-21.20839,2180.0,0.30131543,0.0,0.8149867,108,0.15
11000.0,0.019289015,0.6745584,-12.698507,2200.0,0.30133015,0.0,0.81503,109,0.15
11100.0,0.01928972,0.67455673,-20.083166,2220.0,0.3013045,0.01,0.8148741,110,0.05
11200.0,0.019283284,0.67457086,-21.866598,2240.0,0.3013646,0.0,0.81485796,111,0.15
11300.0,0.019294647,0.6745627,-19.33128,2260.0,0.30134547,0.0,0.8148392,112,0.1
11400.0,0.019338535,0.6745442,-21.307001,2280.0,0.30138287,0.0,0.81496215,113,0.05
11500.0,0.019344764,0.6745368,-19.239653,2300.0,0.30144835,0.0,0.8150948,114,0.15
11600.0,0.019332133,0.6745198,-13.044375,2320.0,0.3014365,0.0,0.81504047,115,0.1
11700.0,0.019322531,0.67452323,-16.091995,2340.0,0.3014412,0.0,0.8148858,116,0.2
11800.0,0.019320216,0.67450213,-10.854195,2360.0,0.30140084,0.02,0.8147376,117,0.15
11900.0,0.019307856,0.6744837,-25.06947,2380.0,0.30143237,0.01,0.8148743,118,0.1
12000.0,0.019317104,0.67447585,-20.358225,2400.0,0.30150798,0.01,0.8149805,119,0.1
12100.0,0.019313179,0.6744757,-13.372312,2420.0,0.30153647,0.0,0.8150492,120,0.15
12200.0,0.019318586,0.6744902,-12.187341,2440.0,0.3016213,0.0,0.8151929,121,0.05
12300.0,0.019320546,0.6744793,-19.485226,2460.0,0.30172104,0.0,0.8153351,122,0.1
12400.0,0.019313602,0.6744656,-21.400251,2480.0,0.30170873,0.0,0.81532556,123,0.15
12500.0,0.019324178,0.6744395,-18.271862,2500.0,0.30173028,0.02,0.81539506,124,0.05
12600.0,0.01932635,0.6744336,-16.844984,2520.0,0.30173945,0.0,0.81537557,125,0.15
12700.0,0.01931892,0.67441577,-12.628178,2540.0,0.3017275,0.02,0.81526196,126,0.0
12800.0,0.019309103,0.67439824,-22.499063,2560.0,0.3017127,0.01,0.81518954,127,0.05
12900.0,0.019310834,0.67437214,-17.922873,2580.0,0.3016537,0.0,0.8150771,128,0.1
13000.0,0.0193141,0.67435783,-18.480457,2600.0,0.3017052,0.0,0.8150455,129,0.1
13100.0,0.019301109,0.6743506,-13.042702,2620.0,0.3016942,0.0,0.81499815,130,0.15
13200.0,0.019282384,0.6743465,-14.952701,2640.0,0.3016432,0.0,0.81483525,131,0.2
13300.0,0.01927918,0.67434657,-19.812654,2660.0,0.30160192,0.01,0.8147192,132,0.0
13400.0,0.01929644,0.67435104,-18.378574,2680.0,0.30155158,0.0,0.8145787,133,0.15
13500.0,0.019293033,0.6743499,-16.24194,2700.0,0.30154848,0.0,0.8145294,134,0.0
13600.0,0.019283948,0.6743546,-13.434431,2720.0,0.30154848,0.0,0.81460553,135,0.1
13700.0,0.019286232,0.67434406,-15.647448,2740.0,0.3015234,0.0,0.815293,136,0.15
13800.0,0.019293139,0.67434144,-17.912704,2760.0,0.30143175,0.0,0.8156934,137,0.1
13900.0,0.01929161,0.6743277,-14.527471,2780.0,0.30136764,0.0,0.81592405,138,0.05
14000.0,0.019302148,0.67434025,-18.298649,2800.0,0.30138123,0.0,0.8160601,139,0.15
14100.0,0.019290097,0.67435485,-18.857002,2820.0,0.30139017,0.0,0.81595623,140,0.05
14200.0,0.01927421,0.6743581,-21.152899,2840.0,0.30138403,0.0,0.8158416,141,0.05
14300.0,0.019265996,0.67437303,-22.359562,2860.0,0.30137122,0.01,0.8157869,142,0.1
14400.0,0.01925594,0.6743793,-24.795101,2880.0,0.3013468,0.01,0.81585175,143,0.0
14500.0,0.01924981,0.67439103,-15.977597,2900.0,0.3012983,0.01,0.8158301,144,0.0
14600.0,0.019235758,0.67440337,-15.658447,2920.0,0.30131462,0.0,0.815713,145,0.1
14700.0,0.019229528,0.6744181,-19.617569,2940.0,0.3013359,0.0,0.81561506,146,0.0
14800.0,0.019219931,0.67441744,-16.735405,2960.0,0.3013153,0.0,0.815652,147,0.1
14900.0,0.019223472,0.6744325,-21.95112,2980.0,0.30135882,0.0,0.8156062,148,0.1
15000.0,0.019216603,0.67442924,-21.043468,3000.0,0.30133578,0.0,0.8154471,149,0.0
15100.0,0.019211276,0.67442703,-18.990435,3020.0,0.30136633,0.0,0.8153628,150,0.15
15200.0,0.019221002,0.67443717,-21.049513,3040.0,0.3014773,0.0,0.81555504,151,0.15
15300.0,0.019241232,0.67441946,-19.098286,3060.0,0.3015332,0.0,0.8155059,152,0.2
15400.0,0.019257419,0.674408,-21.269032,3080.0,0.30160883,0.0,0.8157539,153,0.05
15500.0,0.01926176,0.674403,-17.8641,3100.0,0.30170032,0.0,0.8161047,154,0.25
15600.0,0.019279879,0.67439234,-21.713009,3120.0,0.3017708,0.01,0.8163148,155,0.1
15700.0,0.019299898,0.6743769,-19.405462,3140.0,0.30180523,0.0,0.8166708,156,0.1
15800.0,0.019309577,0.67436063,-13.360708,3160.0,0.30177462,0.0,0.8169521,157,0.25
15900.0,0.019336836,0.6743672,-19.677921,3180.0,0.30179888,0.0,0.8172501,158,0.1
16000.0,0.019367462,0.6743969,-15.594088,3200.0,0.30179316,0.0,0.817641,159,0.1
16100.0,0.019400116,0.6744302,-16.216263,3220.0,0.3018069,0.0,0.8178093,160,0.15
16200.0,0.0194756,0.6744722,-15.966631,3240.0,0.30179805,0.0,0.8182848,161,0.15
16300.0,0.019531783,0.67451215,-15.830686,3260.0,0.3018229,0.0,0.81879807,162,0.1
16400.0,0.019559043,0.6745284,-16.913158,3280.0,0.30186772,0.0,0.81929106,163,0.05
16500.0,0.019604312,0.67453057,-15.200796,3300.0,0.30192795,0.0,0.81978756,164,0.25
16600.0,0.019628398,0.6745444,-14.559329,3320.0,0.30197784,0.01,0.8203893,165,0.05
16700.0,0.01964391,0.6745333,-12.085073,3340.0,0.30193183,0.0,0.820463,166,0.15
16800.0,0.019664306,0.67452633,-17.361103,3360.0,0.30186263,0.01,0.82043475,167,0.05
16900.0,0.019692477,0.6745183,-11.66881,3380.0,0.3017236,0.0,0.8203691,168,0.15
17000.0,0.01973792,0.6744882,-16.579872,3400.0,0.30167553,0.0,0.8202108,169,0.1
17100.0,0.019762155,0.6744676,-12.312689,3420.0,0.30169973,0.0,0.8201009,170,0.25
17200.0,0.019761108,0.6744453,-11.779703,3440.0,0.30162972,0.0,0.82000095,171,0.2
17300.0,0.01976937,0.6744107,-10.663541,3460.0,0.30163082,0.0,0.8201241,172,0.25
17400.0,0.019780496,0.67440474,-15.551883,3480.0,0.30161718,0.0,0.8200767,173,0.15
17500.0,0.019809762,0.67438775,-20.537666,3500.0,0.3016209,0.01,0.82008785,174,0.05
17600.0,0.019834606,0.67440164,-17.79927,3520.0,0.30161723,0.0,0.82006174,175,0.0
17700.0,0.019867029,0.67443866,-24.301632,3540.0,0.30171514,0.0,0.82014763,176,0.0
17800.0,0.019863183,0.6744341,-17.101065,3560.0,0.3017091,0.0,0.82035786,177,0.2
17900.0,0.019867044,0.6744181,-11.0737505,3580.0,0.30169284,0.0,0.8204724,178,0.3
18000.0,0.019892266,0.674405,-8.950796,3600.0,0.30174285,0.01,0.8209647,179,0.05
18100.0,0.019881172,0.67440605,-11.5259905,3620.0,0.30176872,0.01,0.82112765,180,0.05
18200.0,0.019877316,0.674404,-11.767821,3640.0,0.3018143,0.0,0.8210568,181,0.05
18300.0,0.01987735,0.6743973,-17.502804,3660.0,0.3018197,0.0,0.82107633,182,0.0
18400.0,0.019863702,0.67439663,-11.090813,3680.0,0.30182043,0.0,0.8210535,183,0.15
18500.0,0.019855104,0.67439425,-8.774813,3700.0,0.30178997,0.0,0.82095486,184,0.1
18600.0,0.019841295,0.6743985,-7.4441996,3720.0,0.30177307,0.0,0.8208161,185,0.05
18700.0,0.019826513,0.6744047,-9.139936,3740.0,0.3017662,0.0,0.8206144,186,0.0
18800.0,0.01981811,0.67441326,-10.506236,3760.0,0.30176193,0.0,0.8204268,187,0.0
18900.0,0.019812351,0.6744192,-14.673941,3780.0,0.30172902,0.02,0.82019794,188,0.1
19000.0,0.019799745,0.67442524,-17.891584,3800.0,0.3017165,0.0,0.82008797,189,0.05
19100.0,0.019787917,0.6744296,-12.340431,3820.0,0.30171266,0.0,0.8199319,190,0.1
19200.0,0.019780636,0.6744344,-7.2414827,3840.0,0.30168077,0.01,0.81985986,191,0.15
19300.0,0.019767249,0.67443746,-12.436728,3860.0,0.30163857,0.01,0.8197575,192,0.35
19400.0,0.019759987,0.6744464,-12.139361,3880.0,0.30162865,0.0,0.81961864,193,0.15
19500.0,0.019740919,0.67443746,-13.740843,3900.0,0.30160508,0.0,0.819453,194,0.0
19600.0,0.019726964,0.67443335,-11.088273,3920.0,0.3015523,0.0,0.8192033,195,0.2
19700.0,0.019714145,0.6744332,-18.464584,3940.0,0.30155405,0.01,0.81896615,196,0.05
19800.0,0.019698037,0.67444146,-15.271716,3960.0,0.30160415,0.0,0.81877965,197,0.05
19900.0,0.01968943,0.6744457,-14.005426,3980.0,0.30165926,0.01,0.8186625,198,0.25
20000.0,0.019675286,0.6744468,-19.563938,4000.0,0.30163988,0.0,0.8184934,199,0.1
20100.0,0.019655753,0.6744501,-7.645968,4020.0,0.30164167,0.0,0.8183099,200,0.05
20200.0,0.019643206,0.6744472,-16.05513,4040.0,0.3016226,0.03,0.818101,201,0.0
20300.0,0.019636648,0.6744526,-14.915726,4060.0,0.3016229,0.0,0.8178945,202,0.05
20400.0,0.019627498,0.67446214,-13.36915,4080.0,0.30164716,0.0,0.81778914,203,0.2
20500.0,0.019620733,0.6744702,-13.697293,4100.0,0.30164823,0.0,0.81761235,204,0.15
20600.0,0.019616606,0.6744805,-9.996045,4120.0,0.30170527,0.0,0.81748635,205,0.1
20700.0,0.019610446,0.67448866,-11.748123,4140.0,0.30171943,0.01,0.81723785,206,0.0
20800.0,0.019604174,0.67448294,-21.322079,4160.0,0.30175167,0.0,0.81713355,207,0.05
20900.0,0.019593518,0.67448384,-17.052921,4180.0,0.3017668,0.0,0.81702787,208,0.2
21000.0,0.01957888,0.67447674,-10.534944,4200.0,0.30172226,0.01,0.8169371,209,0.05
21100.0,0.019563932,0.67447245,-24.424213,4220.0,0.3017063,0.01,0.81678784,210,0.1
21200.0,0.019554546,0.6744679,-20.294258,4240.0,0.30170804,0.0,0.816658,211,0.05
21300.0,0.019553369,0.6744818,-14.775012,4260.0,0.30170935,0.0,0.8165845,212,0.05
21400.0,0.019546062,0.6744852,-20.48731,4280.0,0.3017377,0.0,0.8164549,213,0.15
21500.0,0.019533757,0.67449373,-14.137514,4300.0,0.30172008,0.0,0.8163812,214,0.1
21600.0,0.019521212,0.67449623,-14.21961,4320.0,0.30170828,0.0,0.81626576,215,0.1
21700.0,0.019508582,0.6745059,-7.32209,4340.0,0.301731,0.0,0.816165,216,0.1
21800.0,0.019505654,0.6745081,-17.170538,4360.0,0.30173093,0.0,0.81605,217,0.1
21900.0,0.019496506,0.674505,-13.450191,4380.0,0.30171904,0.03,0.8158879,218,0.1
22000.0,0.019485606,0.67450416,-9.770512,4400.0,0.30175728,0.01,0.81571454,219,0.2
22100.0,0.01947761,0.67450255,-16.091042,4420.0,0.30176696,0.0,0.8155675,220,0.05
22200.0,0.01947378,0.6745037,-25.762814,4440.0,0.30178857,0.0,0.8154398,221,0.0
22300.0,0.019467516,0.6745006,-8.923654,4460.0,0.30178824,0.01,0.8153647,222,0.3
22400.0,0.019461133,0.6744945,-5.8631735,4480.0,0.3017938,0.01,0.8153218,223,0.15
22500.0,0.019452794,0.67449176,-15.785161,4500.0,0.30183178,0.0,0.81525224,224,0.0
22600.0,0.019447949,0.67448795,-8.760889,4520.0,0.30183834,0.01,0.81516886,225,0.15
22700.0,0.019455055,0.67447877,-16.17747,4540.0,0.30185696,0.01,0.8151447,226,0.15
22800.0,0.019451864,0.6744861,-21.984632,4560.0,0.30186874,0.0,0.81508636,227,0.0
22900.0,0.019450711,0.6744908,-18.934666,4580.0,0.30191267,0.0,0.8149042,228,0.05
23000.0,0.019442938,0.674491,-16.843105,4600.0,0.3019257,0.01,0.81471854,229,0.2
23100.0,0.019441247,0.6744894,-20.892467,4620.0,0.3019309,0.0,0.8145397,230,0.1
23200.0,0.019438634,0.67449534,-18.661945,4640.0,0.3019371,0.01,0.8143649,231,0.1
23300.0,0.019441374,0.6745011,-13.4088,4660.0,0.30195352,0.01,0.81419736,232,0.1
23400.0,0.019434327,0.67449987,-20.855677,4680.0,0.30195668,0.0,0.8140799,233,0.1
23500.0,0.019426562,0.6745078,-23.11401,4700.0,0.3020014,0.02,0.8138419,234,0.05
23600.0,0.019424252,0.6745052,-17.062107,4720.0,0.30201748,0.0,0.8137727,235,0.2
